dataset,method,gamma,m,acc,time_s,kernel_err
20news,nystroem,0.1,100,0.354,0.23840045928955078,0.010266633717814212
20news,nystroem,0.1,500,0.7093333333333334,1.1804676055908203,0.007434700989157385
20news,nystroem,0.1,1000,0.7446666666666667,2.8043861389160156,0.005587658006071922
20news,nystroem,0.1,2000,0.8033333333333333,7.150240182876587,0.003156926412822334
20news,rbf,0.1,100,0.294,0.2727229595184326,0.09376938876148791
20news,rbf,0.1,500,0.586,0.9969513416290283,0.04829773714587335
20news,rbf,0.1,1000,0.654,2.1675126552581787,0.027819949119595632
20news,rbf,0.1,2000,0.738,4.450463533401489,0.014163875856736055
covtype,nystroem,0.1,100,0.6315,0.26459765434265137,0.43187026505720616
covtype,nystroem,0.1,500,0.7145,1.6571478843688965,0.1903540176465094
covtype,nystroem,0.1,1000,0.733,3.619124174118042,0.1274133392571343
covtype,nystroem,0.1,2000,0.752,8.150785446166992,0.08230807436577067
covtype,rbf,0.1,100,0.6088333333333333,0.3551199436187744,0.9221492201070008
covtype,rbf,0.1,500,0.7158333333333333,1.4643688201904297,0.40797890828059574
covtype,rbf,0.1,1000,0.7426666666666667,2.4126923084259033,0.29892744900933593
covtype,rbf,0.1,2000,0.7503333333333333,5.3409342765808105,0.20384839808351957
adult,nystroem,0.1,100,0.8447269823720902,0.3273811340332031,0.11647363376373777
adult,nystroem,0.1,500,0.85283459246975,1.557647705078125,0.059596808157843226
adult,nystroem,0.1,1000,0.8554757078803513,4.595337152481079,0.045273985757435055
adult,nystroem,0.1,2000,0.8555985504575886,11.617125988006592,0.03469023265821672
adult,rbf,0.1,100,0.8349609974817271,0.2588012218475342,0.3895130567098082
adult,rbf,0.1,500,0.8519746944290891,0.9279043674468994,0.16563617573155662
adult,rbf,0.1,1000,0.8551071801486395,1.6612238883972168,0.11732967913087022
adult,rbf,0.1,2000,0.8542472821079786,4.0104660987854,0.08773775747907288
